City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
291,Touros,BR,-5.1989,-35.4608,74.3,69,15,10.6,few clouds
292,Susaki,JP,33.3667,133.2833,73.9,92,24,0.69,few clouds
293,Srednekolymsk,RU,67.45,153.6833,14.58,92,100,5.61,overcast clouds
294,Rockland,US,41.1668,-74.0496,62.85,90,2,0.96,clear sky
295,Kaeo,NZ,-35.1,173.7833,50.32,81,3,5.3,clear sky
296,Kupang,ID,-10.1667,123.5833,83.95,67,47,11.25,scattered clouds
297,Lazaro Cardenas,MX,17.9583,-102.2,77.14,92,100,3.91,overcast clouds
298,Longview,US,32.5007,-94.7405,75.81,82,40,1.99,scattered clouds
299,Rio Grande,BR,-32.035,-52.0986,63.95,95,100,6.06,overcast clouds
300,Saint Anthony,US,45.0205,-93.218,57.92,95,20,1.99,fog
301,Grand Gaube,MU,-20.0064,57.6608,77.38,79,59,8.01,light rain
302,Toccoa,US,34.5773,-83.3324,64.81,98,1,0.0,clear sky
303,Kinel-Cherkassy,RU,53.4706,51.4743,59.72,37,52,14.07,broken clouds
304,Yenagoa,NG,4.9247,6.2642,80.24,84,100,1.21,overcast clouds
305,Wilmington,US,34.2257,-77.9447,66.99,88,90,0.0,overcast clouds
306,Airai,TL,-8.9266,125.4092,67.93,77,86,2.39,moderate rain
307,Katsuura,JP,35.1333,140.3,67.1,91,100,15.26,light rain
308,Port Lincoln,AU,-34.7333,135.8667,52.41,77,100,15.99,overcast clouds
309,Sinnamary,GF,5.3833,-52.95,77.99,88,100,7.76,overcast clouds
310,Ayorou,NE,14.7308,0.9174,94.69,14,10,4.88,clear sky
311,Timra,SE,62.487,17.3257,43.68,67,0,4.61,clear sky
312,Dikson,RU,73.5069,80.5464,26.1,81,74,24.92,broken clouds
313,Fernie,CA,49.5,-115.0687,28.72,55,6,2.28,clear sky
314,Saint George,US,37.1041,-113.5841,45.36,76,1,1.01,clear sky
315,Bereda,ES,43.2686,-7.5406,58.91,61,0,2.91,clear sky
316,Pangnirtung,CA,66.1451,-65.7125,40.95,95,100,7.23,overcast clouds
317,Ushibuka,JP,32.1906,130.0228,77.34,85,8,5.66,clear sky
318,Rocha,UY,-34.4833,-54.3333,59.56,96,87,5.17,overcast clouds
319,Ruteng,ID,-8.6136,120.4721,70.47,71,87,1.54,overcast clouds
320,Xiamen,CN,24.4798,118.0819,78.91,89,100,3.67,light rain
321,Whitehorse,CA,60.7161,-135.0538,35.31,84,100,10.0,overcast clouds
322,Roma,US,43.2128,-75.4557,63.41,91,90,4.61,overcast clouds
323,Opuwo,NA,-18.0607,13.84,90.27,16,0,13.11,clear sky
324,Geraldton,AU,-28.7667,114.6,68.41,60,0,21.85,clear sky
325,Maragogi,BR,-9.0122,-35.2225,76.3,77,100,7.58,overcast clouds
326,Blagoyevo,RU,63.3667,47.9167,45.19,76,100,7.63,overcast clouds
327,Bubaque,GW,11.2833,-15.8333,82.11,80,98,7.11,light rain
328,Sept-Iles,CA,50.2001,-66.3821,54.05,96,100,4.74,overcast clouds
329,Junction City,US,39.0286,-96.8314,64.15,93,20,0.0,moderate rain
